UID,title,artists,abstract,keywords,session-name,session-position,soundcloud,youtube
1,Subespai - Performance submission,Mauri Edo,TBA,music,TBA,TBA,,
2,Corrupted Vinyl,Adam Melzer,TBA,music,TBA,TBA,,
4,Totem,Steven Harran,TBA,music,TBA,TBA,,
5,Illuminations I,Matthew Barnard,TBA,music,TBA,TBA,,
7,No-Input Mixing Board Workshop,Reuben Ingall,TBA,workshop,TBA,TBA,,
8,Compute and Resonate. Creating electro acoustic music of the acid genre for presentation within a club environment utilizing accessible Artificial Intelligence and computer based generative tools.,Dylan Davis,TBA,paper,TBA,TBA,,
9,"Vari-Gen: A Generative System for Creating Musical Variations Using Max, Bach, and Cage in Real-Time",David Hirst,TBA,paper,TBA,TBA,,
10,Pierre and Frank (Parts 1&2),David Hirst,TBA,music,TBA,TBA,,
14,Qualia (2017) electroacoustic sound composition. duration 9:40 minutes,Panayiotis Kokoras,TBA,music,TBA,TBA,,
15,Laputa: Castle in the Sky – A comparison of Joe Hisaishi’s scores for the film’s Japanese and English versions.,Shally Pais,TBA,paper,TBA,TBA,,
18,Exploring Liveness in Instrumental Practise through DAW Processes,Tom Pierard,TBA,paper,TBA,TBA,,
27,The Sky Is The Score #1,Michael Spicer,TBA,music,TBA,TBA,,
28,Atlas of Uncertainty,Massimo Vito Avantaggiato,TBA,music,TBA,TBA,,
29,Chromaticity,"Vicki Hallett, Jem Savage and Ferne Millen",TBA,music,TBA,TBA,,
30,Making the Enabled System,Michael Spicer,TBA,paper,TBA,TBA,,
32,Scrapes and Sighs,Alexis Weaver,TBA,music,TBA,TBA,,
33,The Shimmering Haze,Alexis Weaver,TBA,music,TBA,TBA,,
35,Unawakened Routine of a Salaryman,Minchang Han,TBA,music,TBA,TBA,,
37,Dysthymia,Jaeyoung Park,TBA,music,TBA,TBA,,
38,Dorfl Sings,Abigail Thomas,TBA,music,TBA,TBA,,
39,Composing Real-Time Electronic Dance Music: How studio and performance based-practices combine to create Acid,David Haberfeld,TBA,music,TBA,TBA,,
41,Diantara,Fahmi Mursyid,TBA,music,TBA,TBA,,
46,Multiple Monophony and the Multichannel Monophonic Compositional Framework,Jesse Austin-Stewart and Bridget Johnson,TBA,paper,TBA,TBA,,
48,鬼哭 Wailing Ghosts,Tao Li,TBA,music,TBA,TBA,,
52,Composing Real-Time Electronic Dance Music: an improvisation approach to composing Acid Techno,David Haberfeld,TBA,workshop,TBA,TBA,,
53,Polvere nera,Nicola Fumo Frattegiani,TBA,music,TBA,TBA,,
56,Magnetic Stripes,Matthew Davis,TBA,music,TBA,TBA,,
63,community development through online radio,"Eugenia Stuart, Nicholas Trivett and Laurence Hughes",TBA,paper,TBA,TBA,,
64,Vertical Harmony: Flightpath as Musical Form,"Robert Jarvis, Darrin Verhagen and Adam Nash",TBA,paper,TBA,TBA,,
65,Aileron One,Robert Jarvis,TBA,music,TBA,TBA,,
68,The Evolution of Music in Pokémon Console Games: How does musical texture and aesthetic of the Pokémon videogame theme evolve from 1996- 2017?,Madhuri Suresh,TBA,paper,TBA,TBA,,
74,Biomimetic discourse and the creation of the Distance Mixer,Nicholas McConaghy,TBA,paper,TBA,TBA,,
75,Braided Streams: Intertwining Soundscape Strata and Ecological Data in South Australia’s Limestone Coast,Jesse Budel,TBA,paper,TBA,TBA,,
77,"Towards realising a vision for fully synchronous, online, DAW collaboration on post-production music projects","Scott Stickland, Nathan Scott and Rukshan Athauda",TBA,paper,TBA,TBA,,
79,CROAKE,Stephen Oakes,TBA,music,TBA,TBA,,
81,Algorithmic music generation: solving the right problem.,Matthew Whitley,TBA,paper,TBA,TBA,,
82,"Darshan with a Pelican: Multiplicities – A 40 channel sound composition for the GRM Paris concert series, May 2020",Warren Burt,TBA,paper,TBA,TBA,,
83,"Darshan with a Pelican: Multiplicities – An 8 Channel mixdown of a 40 channel sound composition for the GRM Paris concert series, May 2020",Warren Burt,TBA,music,TBA,TBA,,
84,Physical Energy In Computer-Based Live Performance,Becki Whitton,TBA,paper,TBA,TBA,,
85,Instrument of Failure - Gelido,Andrea Gelido,TBA,music,TBA,TBA,,
90,Curve2020,Sharyn Brand,TBA,music,TBA,TBA,,
91,"Abletweet: Harnessing Social Media APIs for Encoding, Co-Creating and Performing Generative Electronic Music",James Curtis,TBA,paper,TBA,TBA,,
92,Dim Unit,Damian Mason,TBA,music,TBA,TBA,,
94,Solo. Confabulate.,Carl Polke,TBA,music,TBA,TBA,,
95,Abletweet (Performance / live demonstration),James Curtis,TBA,music,TBA,TBA,,
96,Peace Wall Belfast: Spatial Audio Representation of Divided Spaces and Soundwalks,Georgios Varoutsos and Georgios Varoutsos,TBA,paper,TBA,TBA,,
97,Unseen - for modular synthesiser and live visuals,Benjamin Carey,TBA,music,TBA,TBA,,
98,Divided Spaces,Georgios Varoutsos,TBA,music,TBA,TBA,,
99,Dark Path #4,Anna Terzaroli,TBA,music,TBA,TBA,,
103,Touch Virtual Nature,"Susannah Langley, Jessica Williams, Susannah Langley and Ann Borda",TBA,music,TBA,TBA,,
